Filename, N_kps1, N_kps2, Total_kps2, N_matches, average_match_rate, n_forward, n_backward, n_not_first_match_forward, n_not_first_match_backward, old_average_match_rate,difference,dif2,, average_match_rate_reduced_CC,,,
jenner001-2010.png,1231,1444,2675,151,0.112897196,172,171,0,0,0.118130841,-0.044303796,0.001962826,0.005375155,0.112897196,0,0,1.4119E-07
jenner002-2010.png,1183,1562,2745,166,0.120947177,190,197,0,0,0.128233151,-0.05681818,0.003228306,0.073315451,0.120947177,0,0,0.000375753
jenner003-2010.png,2099,2319,4418,157,0.071072884,178,191,0,0,0.077410593,-0.081871345,0.006702917,,0.071072884,0,0,
jenner004-2010.png,1352,1704,3056,134,0.087696335,151,157,0,0,0.092931937,-0.056338026,0.003173973,,0.087696335,0,0,
jenner005-2010.png,1547,2345,3892,54,0.027749229,65,75,0,0,0.030832477,-0.100000004,0.010000001,,0.027749229,0,0,
jenner006-2010.png,1627,2170,3797,408,0.214906505,447,454,0,0,0.224914406,-0.044496487,0.001979937,,0.215433237,-0.000526732,2.77446E-07,
jenner007-2010.png,1446,2109,3555,343,0.192967651,370,388,0,0,0.199156118,-0.031073446,0.000965559,,0.193530239,-0.000562588,3.16505E-07,
jenner008-2010.png,2279,3059,5338,437,0.163731735,481,487,0,0,0.168977145,-0.031042129,0.000963614,,0.163731735,0,0,
jenner009-2010.png,918,1332,2250,180,0.16,193,199,0,0,0.164444444,-0.027027024,0.00073046,,0.16,0,0,
jenner010-2010.png,1221,1803,3024,60,0.03968254,72,67,0,0,0.040343915,-0.016393434,0.000268745,,0.03968254,0,0,
jenner011-2010.png,1481,1335,2816,50,0.035511364,60,69,0,0,0.040482955,-0.122807027,0.015081566,,0.035511364,0,0,
jenner012-2010.png,1867,2239,4106,312,0.151972723,343,349,0,0,0.154895275,-0.018867923,0.000355999,,0.152459815,-0.000487092,2.37259E-07,
jenner013-2010.png,2173,2827,5000,191,0.0764,214,224,0,0,0.0796,-0.040201005,0.001616121,,0.0764,0,0,
jenner014-2010.png,2013,2285,4298,154,0.071661238,176,182,0,0,0.076314565,-0.060975611,0.003718025,,0.071661238,0,0,
jenner015-2010.png,1136,1532,2668,162,0.12143928,188,182,0,0,0.126686657,-0.041420121,0.001715626,,0.12143928,0,0,
jenner016-2010.png,1657,1970,3627,218,0.12020954,239,236,0,0,0.122415219,-0.018018017,0.000324649,,0.120760959,-0.00055142,3.04064E-07,
jenner017-2010.png,1787,1639,3426,229,0.133683596,251,247,0,0,0.13543491,-0.012931038,0.000167212,,0.133683596,0,0,
jenner018-2010.png,1618,2356,3974,202,0.101660795,221,234,0,0,0.105183694,-0.033492823,0.001121769,,0.101660795,0,0,
jenner019-2010.png,2141,1969,4110,35,0.01703163,56,45,0,0,0.018491484,-0.078947359,0.006232686,,0.01703163,0,0,
jenner020-2010.png,1141,1477,2618,157,0.119938885,183,177,0,0,0.124522536,-0.036809814,0.001354962,,0.119938885,0,0,
jenner021-2010.png,1786,2648,4434,162,0.073071719,186,190,0,0,0.078484438,-0.068965512,0.004756242,,0.073071719,0,0,
jenner022-2010.png,1876,1939,3815,179,0.093840105,195,208,0,0,0.096985583,-0.03243243,0.001051863,,0.093840105,0,0,
jenner023-2010.png,1183,1441,2624,222,0.169207317,243,254,0,0,0.179878049,-0.059322035,0.003519104,,0.169207317,0,0,
jenner024-2010.png,1701,2250,3951,343,0.17362693,382,380,0,0,0.180207542,-0.036516852,0.00133348,,0.174133131,-0.000506201,2.56239E-07,
jenner025-2010.png,2639,3077,5716,714,0.249825052,768,766,0,0,0.256822953,-0.027247956,0.000742451,,0.249825052,0,0,
jenner026-2010.png,1577,2536,4113,125,0.060782884,137,158,0,0,0.065645514,-0.074074071,0.005486968,,0.060782884,0,0,
jenner027-2010.png,2675,2619,5294,203,0.076690593,234,231,0,0,0.080090669,-0.042452834,0.001802243,,0.076690593,0,0,
jenner028-2010.png,807,1018,1825,58,0.063561644,68,69,0,0,0.070136986,-0.093749996,0.008789062,,0.063561644,0,0,
jenner029-2010.png,2074,3076,5150,338,0.131262136,376,397,0,0,0.140194175,-0.063711913,0.004059208,,0.131262136,0,0,
jenner030-2010.png,1621,2334,3955,302,0.152718078,335,343,0,0,0.160303413,-0.04731861,0.002239051,,0.152718078,0,0,
jenner031-2010.png,1415,2181,3596,271,0.150723026,304,310,0,0,0.155172414,-0.028673836,0.000822189,,0.151835373,-0.001112347,1.23732E-06,
jenner032-2010.png,1995,2388,4383,299,0.136436231,341,354,0,0,0.144193475,-0.05379747,0.002894168,,0.136892539,-0.000456308,2.08217E-07,
jenner033-2010.png,1917,2353,4270,379,0.177517564,424,423,0,0,0.183606557,-0.033163263,0.001099802,,0.177517564,0,0,
jenner034-2010.png,1984,2752,4736,150,0.063344595,168,176,0,0,0.06714527,-0.05660377,0.003203987,,0.063344595,0,0,
jenner035-2010.png,2584,2706,5290,222,0.083931947,253,259,0,0,0.08657845,-0.030567687,0.000934383,,0.083931947,0,0,
jenner036-2010.png,1156,1426,2582,183,0.141750581,205,203,0,0,0.146398141,-0.031746032,0.001007811,,0.142525174,-0.000774593,5.99995E-07,
jenner037-2010.png,1530,2502,4032,219,0.108630952,239,256,0,0,0.112599206,-0.035242288,0.001242019,,0.108630952,0,0,
jenner038-2010.png,1356,1945,3301,203,0.122993032,226,243,0,0,0.130263556,-0.05581395,0.003115197,,0.122993032,0,0,
jenner039-2010.png,696,1080,1776,91,0.102477477,100,97,0,0,0.10472973,-0.021505379,0.000462481,,0.102477477,0,0,
jenner040-2010.png,1409,1624,3033,170,0.112100231,190,196,0,0,0.118694362,-0.055555555,0.00308642,,0.112100231,0,0,
jenner041-2010.png,1714,2638,4352,216,0.099264706,244,253,0,0,0.105698529,-0.060869562,0.003705104,,0.099724265,-0.000459559,2.11194E-07,
jenner042-2010.png,2330,3287,5617,330,0.117500445,358,369,0,0,0.119992879,-0.020771515,0.000431456,,0.117500445,0,0,
jenner043-2010.png,1837,2104,3941,233,0.1182441,259,255,0,0,0.121796498,-0.029166664,0.000850694,,0.1182441,0,0,
jenner044-2010.png,1252,1622,2874,247,0.171885873,276,271,0,0,0.177453027,-0.031372548,0.000984237,,0.172581768,-0.000695894,4.84269E-07,
jenner045-2010.png,1716,2609,4325,223,0.103121387,244,250,0,0,0.105895954,-0.026200876,0.000686486,,0.103121387,0,0,
