,1,1,1,2,,3,3,3,4,,5,5,5,,6,6,6,,7,7,7,
file,2010_sift_keypoints,2012_sift_keypoints,sift_bfmatch,sift_flann,match_rate,2010_kaze_keypoints_0003,2012_kaze_keypoints_0003,kaze_bfmatch,kaze_flann,match_rate,2010_kaze_keypoints_001,2012_kaze_keypoints_001,kaze_flann,match_rate,2010_akaze_keypoints_default,2012_akaze_keypoints_default,akaze_bfmatch,match_rate,2010_akaze_keypoints_0003,2012_akaze_keypoints_0003,akaze_bfmatch,match_rate
sanjose001,3769,4616,202,202,5%,3177,4856,1013,1013,32%,650,2377,265,41%,822,2561,168,20%,3125,4730,474,15%
sanjose002,4506,5077,421,421,9%,3540,5241,1239,1239,35%,891,2815,406,46%,1035,2561,214,21%,3366,5003,527,16%
sanjose003,3411,4006,543,543,16%,3143,4516,1719,1719,55%,1162,2647,771,66%,959,2238,444,46%,2661,3790,880,33%
sanjose004,2983,3648,420,420,14%,2955,4023,1360,1360,46%,861,1817,454,53%,887,1707,309,35%,2679,3536,719,27%
sandiego001,2957,4232,656,656,22%,2935,4460,1639,1639,56%,964,2260,578,60%,983,2136,428,44%,2660,3919,984,37%
sandiego002,3487,4548,741,741,21%,3266,4268,1587,1587,49%,833,1678,447,54%,948,1823,275,29%,3309,4140,836,25%
sandiego003,2781,3878,756,756,27%,2623,4097,1521,1521,58%,689,1751,403,58%,742,1581,295,40%,2443,3495,892,37%
sandiego004,3936,5145,289,289,7%,3784,5417,928,928,25%,1096,2843,311,28%,1386,2924,161,12%,3777,4997,406,11%
sacramento001,4101,5147,932,932,23%,3114,5139,1852,1852,59%,699,2863,493,71%,772,2837,335,43%,3072,4781,1098,36%
sacramento002,3849,4927,426,426,11%,3955,5340,1431,1431,36%,1647,3714,668,41%,1599,3189,410,26%,3494,4427,729,21%
sacramento003,3683,4993,427,427,12%,2927,4886,1208,1208,41%,438,2568,212,48%,660,2769,171,26%,3084,4794,659,21%
sacramento004,3579,4516,664,664,19%,2752,4485,1424,1424,52%,660,2290,423,64%,730,2260,309,42%,2647,4151,813,31%
oakland001,2329,3147,317,317,14%,2394,3370,974,974,41%,506,1088,196,39%,570,1230,143,25%,2466,3341,463,19%
oakland002,3272,3822,394,394,12%,3310,4351,1319,1319,40%,802,2087,379,47%,961,2113,258,27%,3304,4071,687,21%
oakland003,3828,3981,348,348,9%,3560,4362,1066,1066,30%,1113,2229,329,30%,1062,2073,209,20%,3183,3920,560,18%
oakland004,3291,4370,390,390,12%,3095,4714,1288,1288,42%,748,2374,341,46%,775,2314,221,29%,2970,4349,668,22%
,,,,,,,,,,,,,,,,,,,,,,
,3485,4378,,,15%,3158,4595,,,44%,860,2338,,49%,931,2270,,30%,3015,4215,,24%
